OBJECTID,shortest_dist
826,1699.19
827,1717.57
828,1639.04
829,1666.73
830,1256.15
831,1692.47
832,1769.72
833,1640.63
834,1723.81
835,1607.84
836,1650.65
837,1673.38
838,1435.49
839,1731.37
840,1456.63
841,1613.18
842,1616.53
843,1437.96
844,1696.07
845,1641.95
846,1325.19
847,1728.9
848,1429.25
849,1702.33
850,1732.36
851,1702.52
852,1720.96
853,1691.17
854,1676.31
855,1668.73
856,1604.12
857,1673.95
858,1701.73
859,1671.45
860,1425.15
861,1725.64
862,1691.73
863,1729.96
864,1705.27
865,1697.52
866,1601.38
867,1604.62
868,1069.34
869,1582.91
870,1676.56
871,1729.53
872,1678.19
873,1735.63
874,1308.06
875,1669.82
876,1665.97
877,1732.05
878,1726.54
879,1726.85
880,1629.21
881,1725.08
882,1737.04
883,1726.55
884,1624.83
885,1674.65
886,1677.0
887,1697.33
888,1723.4
889,1673.72
890,1694.33
891,1746.85
892,1719.73
893,1725.49
894,1724.44
895,1721.26
896,1714.88
897,1697.92
898,1701.66
899,1572.37
900,1698.35
901,1625.17
902,1606.39
903,1690.13
904,916.65
905,1735.62
906,1715.77
907,1675.55
908,1724.4
909,1613.61
910,1665.94
911,1675.29
912,1304.67
913,1633.17
914,1633.65
915,1702.45
916,1665.65
917,1726.25
918,1634.55
919,1668.91
920,1671.75
921,1569.73
922,1733.56
923,1654.43
924,1644.0
925,1670.5
926,1298.31
927,1521.2
928,1703.63
929,1672.4
930,1712.74
931,1704.95
932,1607.29
933,1672.88
934,1634.53
935,1306.01
936,1678.56
937,1687.93
938,1693.24
939,1631.23
940,1649.65
941,1675.78
942,1524.96
943,1670.56
944,1636.15
945,1601.11
946,1661.92
947,1615.04
948,1726.35
949,1665.28
950,1620.37
951,1542.84
952,1601.73
953,1613.43
954,1585.1
955,1665.2
956,1636.39
957,1597.53
958,1624.67
959,1532.48
960,1678.0
961,1728.77
962,1696.38
963,1619.23
964,1699.48
965,1617.43
966,1615.71
967,1663.67
968,1642.56
969,1741.05
970,1616.06
971,1666.35
972,1674.64
973,1304.73
974,1607.98
975,1730.46
976,1726.29
977,1629.12
978,1667.05
979,1622.69
980,901.75
981,1647.29
982,1500.77
983,1733.18
984,1626.18
985,1298.98
986,1611.46
987,1606.12
988,1625.35
989,1605.47
990,1643.25
991,1607.28
992,1622.6
993,1626.0
994,1078.23
995,1726.32
996,1607.1
997,1626.7
998,1618.46
999,1636.24
1000,1513.07
1001,1566.9
1002,1627.51
1003,1041.22
1004,1736.88
1005,1502.54
1006,1040.58
1007,1619.37
1008,1565.56
1009,1609.86
1010,1618.57
1011,1604.29
1012,1757.58
1013,1760.65
1014,1524.91
1015,1628.31
1016,1611.07
1017,1565.03
1018,1058.94
1019,1615.39
1020,1762.61
1021,1633.62
1022,1594.76
1023,1755.3
1024,1754.86
1025,1616.96
1026,1751.85
1027,1753.64
1028,1027.73
1029,1031.49
1030,1035.69
1031,1040.45
1032,1042.92
1033,1045.88
1034,1046.79
1035,1741.52
1036,1764.54
1037,1755.73
1038,1579.93
1039,1738.11
1040,1015.98
1041,1002.93
1042,1009.15
1043,1015.76
1044,1009.67
1045,1017.37
1046,1024.22
1047,1026.77
1048,1039.58
1049,1036.67
1050,1041.13
1051,1039.36
1052,1040.25
1053,1036.85
1054,1040.68
1055,1037.07
1056,1647.96
1057,1579.21
1058,1427.69
1059,1645.04
1060,1313.63
1061,1543.75
1062,1574.24
1063,1683.8
1064,1664.8
1065,1649.79
1066,1758.68
1067,1636.51
1068,1658.39
1069,1659.02
1070,1734.54
1071,1675.59
1072,1677.8
1073,1616.12
1074,1321.62
1075,1644.29
1076,1591.93
1077,1764.39
1078,1674.23
1079,1708.88
1080,1635.26
1081,1662.4
1082,1322.31
1083,1740.53
1084,1750.03
1085,1673.29
1086,1743.73
1087,1643.41
1088,1736.45
1089,1642.14
1090,1628.32
1091,1628.56
1092,1572.83
1093,1632.48
1094,1762.13
1095,1654.66
1096,1710.7
1097,1571.38
1098,1745.62
1099,1751.24
1100,1647.58
1101,1629.13
1102,1675.96
1103,1649.1
1104,1666.49
1105,1657.06
1106,1659.13
1107,1562.22
1108,1573.38
