state_code,county_code,site_number,latitude,longitude,parameter_code,validity_indicator,parameter,sample_duration,arithmetic_mean,units_of_measure,date_local,aqi
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,12.0,Micrograms/cubic meter (25 C),1990-07-22,11
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,54.0,Micrograms/cubic meter (25 C),1990-07-28,50
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,38.0,Micrograms/cubic meter (25 C),1990-08-03,35
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,15.0,Micrograms/cubic meter (25 C),1990-08-21,14
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,33.0,Micrograms/cubic meter (25 C),1990-08-24,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,30.0,Micrograms/cubic meter (25 C),1990-08-27,28
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,23.0,Micrograms/cubic meter (25 C),1990-09-02,21
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,31.0,Micrograms/cubic meter (25 C),1990-09-08,29
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,19.0,Micrograms/cubic meter (25 C),1990-09-14,18
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,23.0,Micrograms/cubic meter (25 C),1990-09-20,21
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,34.0,Micrograms/cubic meter (25 C),1990-09-26,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,27.0,Micrograms/cubic meter (25 C),1990-10-02,25
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,5.0,Micrograms/cubic meter (25 C),1990-10-08,5
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,16.0,Micrograms/cubic meter (25 C),1990-10-14,15
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,20.0,Micrograms/cubic meter (25 C),1990-10-20,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,21.0,Micrograms/cubic meter (25 C),1990-10-26,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,7.0,Micrograms/cubic meter (25 C),1991-05-06,6
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,32.0,Micrograms/cubic meter (25 C),1991-05-12,30
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,12.0,Micrograms/cubic meter (25 C),1991-05-18,11
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,19.0,Micrograms/cubic meter (25 C),1991-05-24,18
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,25.0,Micrograms/cubic meter (25 C),1991-05-30,23
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,34.0,Micrograms/cubic meter (25 C),1991-06-05,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,34.0,Micrograms/cubic meter (25 C),1991-06-11,31
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,24.0,Micrograms/cubic meter (25 C),1991-06-17,22
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,16.0,Micrograms/cubic meter (25 C),1991-06-23,15
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,38.0,Micrograms/cubic meter (25 C),1991-06-29,35
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,29.0,Micrograms/cubic meter (25 C),1991-07-05,27
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,39.0,Micrograms/cubic meter (25 C),1991-07-11,36
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,55.0,Micrograms/cubic meter (25 C),1991-07-17,51
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,29.0,Micrograms/cubic meter (25 C),1991-07-23,27
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,11.0,Micrograms/cubic meter (25 C),1991-07-29,10
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,13.0,Micrograms/cubic meter (25 C),1991-08-04,12
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,17.0,Micrograms/cubic meter (25 C),1991-08-10,16
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,37.0,Micrograms/cubic meter (25 C),1991-08-16,34
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,23.0,Micrograms/cubic meter (25 C),1991-08-23,21
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,55.0,Micrograms/cubic meter (25 C),1991-08-28,51
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,30.0,Micrograms/cubic meter (25 C),1991-09-03,28
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,31.0,Micrograms/cubic meter (25 C),1991-09-09,29
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,20.0,Micrograms/cubic meter (25 C),1991-09-15,19
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,25.0,Micrograms/cubic meter (25 C),1991-09-21,23
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,36.0,Micrograms/cubic meter (25 C),1991-10-03,33
55,025,0037,43.043054,-89.248727,81102,Y,PM10 Total 0-10um STP,24 HOUR,61.0,Micrograms/cubic meter (25 C),1991-10-09,54
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,40.0,Micrograms/cubic meter (25 C),1992-05-02,37
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,72.0,Micrograms/cubic meter (25 C),1992-05-04,59
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,21.0,Micrograms/cubic meter (25 C),1992-05-06,19
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,51.0,Micrograms/cubic meter (25 C),1992-05-08,47
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,37.0,Micrograms/cubic meter (25 C),1992-05-10,34
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,26.0,Micrograms/cubic meter (25 C),1992-05-12,24
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,26.0,Micrograms/cubic meter (25 C),1992-05-14,24
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,63.0,Micrograms/cubic meter (25 C),1992-05-16,55
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,15.0,Micrograms/cubic meter (25 C),1992-05-18,14
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,38.0,Micrograms/cubic meter (25 C),1992-05-20,35
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,41.0,Micrograms/cubic meter (25 C),1992-05-22,38
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,11.0,Micrograms/cubic meter (25 C),1992-05-24,10
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,15.0,Micrograms/cubic meter (25 C),1992-05-26,14
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,19.0,Micrograms/cubic meter (25 C),1992-05-28,18
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,27.0,Micrograms/cubic meter (25 C),1992-05-30,25
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,32.0,Micrograms/cubic meter (25 C),1992-06-01,30
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,37.0,Micrograms/cubic meter (25 C),1992-06-03,34
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,27.0,Micrograms/cubic meter (25 C),1992-06-05,25
55,025,0025,43.08194,-89.376786,81102,Y,PM10 Total 0-10um STP,24 HOUR,13.0,Micrograms/cubic meter (25 C),1992-06-07,12
